lnths	lnemp	mico	mppa	mgfa	s	t
5.981414	12.5084	1	1	0	18	13
5.926926	12.53249	1	1	0	18	14
6.322565	12.55954	1	1	0	18	15
6.929517	12.59439	1	1	0	18	16
6.998509	12.61752	1	1	0	18	17
5.164786	12.39421	0	0	0	19	1
4.49981	12.38003	0	0	0	19	2
4.779123	12.37159	0	0	0	19	3
5.278115	12.3467	0	0	0	19	4
5.517453	12.36862	1	0	0	19	5
6.102559	12.41714	1	0	0	19	6
6.447306	12.42681	1	0	0	19	7
6.51323	12.43679	1	0	0	19	8
6.692084	12.45644	1	0	0	19	9
6.760415	12.49163	1	1	0	19	10
6.870053	12.52816	1	1	0	19	11
6.400258	12.57314	1	1	0	19	12
6.120297	12.59947	1	1	0	19	13
6.620073	12.64013	1	1	0	19	14
6.875232	12.67201	1	1	0	19	15
7.467371	12.71289	1	1	0	19	16
7.467371	12.74694	1	1	0	19	17
7.535297	13.35538	0	0	0	20	1
7.543803	13.34966	0	0	0	20	2
7.526718	13.34262	0	0	0	20	3
7.34601	13.32089	0	0	0	20	4
7.223296	13.32253	1	0	0	20	5
7.739359	13.36201	1	0	0	20	6
7.893572	13.3855	1	0	0	20	7
7.467371	13.38857	1	0	0	20	8
8.229511	13.41084	1	1	0	20	9
8.583917	13.44169	1	1	0	20	10
8.72437	13.4702	1	1	0	20	11
8.809713	13.50094	1	1	0	20	12
8.9422	13.51332	1	1	0	20	13
9.076809	13.52796	1	1	0	20	14
9.294957	13.5505	1	1	0	20	15
9.337414	13.58748	1	1	0	20	16
9.540075	13.61266	1	1	0	20	17
7.161622	13.76084	0	0	0	21	1
7.112328	13.75862	0	0	0	21	2
7.041412	13.7639	0	1	0	21	3
7.41216	13.73365	0	1	0	21	4
7.349874	13.73387	0	1	0	21	5
7.777374	13.77552	1	1	0	21	6
7.934155	13.78288	1	1	0	21	7
7.982075	13.80019	1	1	0	21	8
8.215007	13.8206	1	1	0	21	9
8.84058	13.8503	1	1	0	21	10
9.023046	13.87773	1	1	0	21	11
8.927181	13.90031	1	1	0	21	12
9.201602	13.90663	1	1	0	21	13
9.166389	13.92437	1	1	0	21	14
9.457513	13.94064	1	1	0	21	15
9.628655	13.96892	1	1	0	21	16
9.758808	13.99616	1	1	0	21	17
7.319202	12.45566	0	0	0	22	1
7.415175	12.46535	0	0	0	22	2
7.28961	12.46535	0	0	0	22	3
7.36834	12.46535	0	0	0	22	4
7.269617	12.49163	0	0	0	22	5
7.855932	12.54255	0	0	0	22	6
8.106816	12.58929	0	0	0	22	7
8.056109	12.62215	0	0	0	22	8
8.222822	12.67826	0	0	0	22	9
8.468003	12.71949	0	0	0	22	10
8.569216	12.74985	0	0	0	22	11
8.445912	12.75881	0	0	0	22	12
8.417594	12.74198	0	0	0	22	13
8.298041	12.74052	0	0	1	22	14
8.538367	12.76168	0	0	1	22	15
8.49126	12.78269	0	0	1	22	16
8.732143	12.81148	0	0	1	22	17
8.836083	14.34101	0	0	0	23	1
8.809265	14.35306	0	0	0	23	2
8.922125	14.35539	0	1	0	23	3
8.782169	14.3318	0	1	0	23	4
8.829958	14.36022	0	1	0	23	5
9.221676	14.41105	0	1	0	23	6
9.549879	14.45092	1	1	0	23	7
9.570251	14.48437	1	1	0	23	8
10.06429	14.52256	1	1	0	23	9
9.755626	14.55854	1	1	0	23	10
9.963406	14.58339	1	1	0	23	11
10.00785	14.59079	1	1	0	23	12
9.745488	14.55735	1	1	0	23	13
9.793226	14.5485	1	1	0	23	14
10.11257	14.55859	1	1	0	23	15
10.29593	14.57902	1	1	0	23	16
10.40991	14.59607	1	1	0	23	17
8.767952	14.56457	0	0	0	24	1
8.826	14.58432	0	0	0	24	2
9.068546	14.58599	0	0	0	24	3
8.9969	14.5793	0	0	0	24	4
9.102644	14.6071	1	0	0	24	5
9.314791	14.66279	1	0	0	24	6
9.530103	14.71352	1	1	0	24	7
9.615672	14.75462	1	1	0	24	8
9.718723	14.80148	1	1	0	24	9
9.903137	14.83526	1	1	0	24	10
10.00852	14.867	1	1	0	24	11
10.12355	14.87894	1	1	0	24	12
10.0332	14.8554	1	1	0	24	13
10.26514	14.86227	1	1	0	24	14
10.46502	14.88672	1	1	0	24	15
10.67262	14.91532	1	1	0	24	16
10.82134	14.93709	1	1	0	24	17
6.966967	13.39787	0	1	0	25	1
6.883462	13.3784	0	1	0	25	2
6.985642	13.35109	0	1	0	25	3
6.888573	13.3176	0	1	0	25	4
6.405229	13.27474	0	1	0	25	5
6.865891	13.299	0	1	0	25	6
7.01661	13.30001	0	1	0	25	7
7.000334	13.30051	1	1	0	25	8
7.344719	13.30302	1	1	0	25	9
7.655864	13.32089	1	1	0	25	10
8.0077	13.32889	1	1	0	25	11
7.957177	13.35363	1	1	0	25	12
7.865955	13.35205	1	1	0	25	13
7.918629	13.36922	1	1	0	25	14
8.124447	13.38872	1	1	0	25	15
8.198364	13.42188	1	1	0	25	16
8.41671	13.44125	1	1	0	25	17
8.436851	14.67967	0	0	0	26	1
8.327968	14.68261	0	0	0	26	2
8.434898	14.68747	0	0	0	26	3
8.606668	14.66865	0	0	0	26	4
8.728264	14.69895	0	0	0	26	5
9.103645	14.75755	0	0	0	26	6
9.448096	14.79052	0	1	0	26	7
9.619532	14.82496	0	1	0	26	8
9.880065	14.86724	0	1	0	26	9
10.2897	14.90965	0	1	0	26	10
10.24509	14.93846	0	1	0	26	11
10.33006	14.95261	0	1	0	26	12
10.26782	14.9379	0	1	0	26	13
10.55232	14.9551	0	1	0	26	14
10.81886	14.99253	0	1	0	26	15
11.0069	15.02712	0	1	0	26	16
11.10479	15.05663	0	1	0	26	17
7.685703	13.97763	0	0	0	27	1
7.772753	13.98845	0	0	0	27	2
7.749322	13.99483	0	0	0	27	3
7.681099	13.96591	0	0	0	27	4
7.901007	13.98862	0	0	0	27	5
8.349721	14.0486	0	0	0	27	6
8.584291	14.07495	0	1	0	27	7
8.762489	14.10669	0	1	0	27	8
9.015784	14.1464	1	1	0	27	9
9.556692	14.18638	1	1	0	27	10
9.608982	14.22078	1	1	0	27	11
9.82612	14.25053	1	1	0	27	12
9.722205	14.22987	1	1	0	27	13
10.2157	14.23927	1	1	0	27	14
10.17991	14.26665	1	1	0	27	15
10.45493	14.29	1	1	0	27	16
10.57352	14.31392	1	1	0	27	17
8.95157	14.57046	0	0	0	28	1
8.976009	14.58534	0	0	0	28	2
8.901503	14.60333	0	0	0	28	3
9.068431	14.60465	0	0	0	28	4
9.258464	14.63947	0	0	0	28	5
9.589188	14.71107	0	0	0	28	6
9.990628	14.75934	0	0	0	28	7
10.10033	14.79849	0	0	0	28	8
9.921082	14.83868	0	0	0	28	9
10.29265	14.87188	0	0	0	28	10
10.35153	14.89429	0	0	0	28	11
10.48559	14.91139	0	0	0	28	12
10.36581	14.89307	0	0	0	28	13
10.67119	14.90985	0	0	0	28	14
10.8826	14.94988	0	0	0	28	15
11.11828	14.99905	0	0	0	28	16
11.29722	15.03996	0	0	0	28	17
9.861154	15.03374	0	0	0	29	1
9.773151	15.08981	0	0	0	29	2
9.822603	15.13353	0	0	0	29	3
9.870396	15.14043	0	0	0	29	4
9.88949	15.17787	0	0	0	29	5
10.18573	15.25159	0	0	0	29	6
10.7283	15.29939	0	0	0	29	7
10.73009	15.34144	0	0	0	29	8
10.83415	15.3941	0	0	0	29	9
11.21795	15.43818	0	0	0	29	10
11.32903	15.47581	0	0	0	29	11
11.44211	15.49957	0	0	0	29	12
11.55559	15.48214	0	0	0	29	13
11.75149	15.49423	0	0	0	29	14
12.03484	15.53316	0	0	0	29	15
12.25839	15.57327	0	0	0	29	16
12.52565	15.60662	0	0	0	29	17
8.118505	14.03497	0	0	0	30	1
7.855157	14.00613	0	0	0	30	2
7.612831	13.99449	0	0	0	30	3
7.747165	13.96453	0	0	0	30	4
8.081475	13.95727	1	1	0	30	5
8.454679	14.00927	1	1	0	30	6
8.659907	14.03889	1	1	0	30	7
8.762489	14.05775	1	1	0	30	8
8.742095	14.09934	1	1	0	30	9
9.123801	14.13897	1	1	0	30	10
9.29771	14.17528	1	1	0	30	11
9.433884	14.20111	1	1	0	30	12
9.547313	14.20397	1	1	0	30	13
9.698368	14.22663	1	1	0	30	14
9.992002	14.25241	1	1	0	30	15
10.02336	14.28376	1	1	0	30	16
10.04529	14.31191	1	1	0	30	17
8.282736	14.39061	0	0	0	31	1
8.229511	14.37318	0	0	0	31	2
8.144969	14.37821	1	0	0	31	3
8.41516	14.3479	1	0	0	31	4
8.713253	14.35725	1	0	0	31	5
8.957897	14.40994	1	1	0	31	6
9.256269	14.44027	1	1	0	31	7
9.769957	14.47293	1	1	0	31	8
9.417842	14.51444	1	1	0	31	9
9.987875	14.55368	1	1	0	31	10
10.08322	14.58895	1	1	0	31	11
10.08752	14.60087	1	1	0	31	12
10.20348	14.59649	1	1	0	31	13
10.47655	14.62422	1	1	0	31	14
10.57984	14.66074	1	1	0	31	15
10.72974	14.70052	1	1	0	31	16
10.84287	14.7314	1	1	0	31	17
7.223296	14.12446	0	0	0	32	1
7.610853	14.12012	0	0	0	32	2
7.397562	14.11384	0	0	0	32	3
7.75876	14.08744	0	0	0	32	4
7.8144	14.09979	0	0	0	32	5
8.281724	14.14316	0	0	0	32	6
8.56484	14.17115	0	0	0	32	7
8.422663	14.19621	0	0	0	32	8
8.690138	14.2261	1	0	1	32	9
8.856519	14.25936	1	0	1	32	10
9.072227	14.28626	1	0	1	32	11
9.401126	14.30758	1	0	1	32	12
9.344084	14.31143	1	0	1	32	13
9.743378	14.33103	1	0	1	32	14
10.05664	14.35597	1	0	1	32	15
10.11338	14.37997	1	0	1	32	16
10.42195	14.4053	1	0	1	32	17
5.26269	13.63889	0	0	0	33	1
5.849325	13.62834	0	0	0	33	2
5.958425	13.61596	0	0	0	33	3
6.061457	13.58093	0	0	0	33	4
6.230482	13.58333	0	0	0	33	5
6.620073	13.61803	0	0	0	33	6
7.019297	13.63985	0	0	0	33	7
7.12206	13.65087	0	0	0	33	8
7.21524	13.66979	0	1	0	33	9
7.939872	13.70592	0	1	0	33	10
8.04719	13.73137	0	1	0	33	11
8.669399	13.75001	0	1	0	33	12
8.971194	13.75097	0	1	0	33	13
9.026538	13.775	0	1	0	33	14
9.014934	13.81781	0	1	0	33	15
9.278186	13.86952	0	1	0	33	16
9.480749	13.88737	0	1	0	33	17
6.948897	13.52703	0	0	0	34	1
7.044905	13.51751	0	1	0	34	2
7.195937	13.51454	0	1	0	34	3
6.953684	13.48715	0	1	0	34	4
6.989335	13.51616	0	1	0	34	5
7.457609	13.56731	1	1	0	34	6
7.653495	13.58874	1	1	0	34	7
7.797702	13.60947	1	1	0	34	8
7.940584	13.6371	1	1	0	34	9
8.859364	13.67095	1	1	0	34	10
9.305105	13.70279	1	1	0	34	11
9.563249	13.73593	1	1	0	34	12
9.695725	13.7498	1	1	0	34	13
9.771498	13.77791	1	1	0	34	14
9.82347	13.80949	1	1	0	34	15
9.994379	13.84904	1	1	0	34	16
10.1881	13.88261	1	1	0	34	17
9.263028	14.23251	0	0	0	35	1
9.011157	14.27224	0	0	0	35	2
9.070044	14.3044	0	0	0	35	3
9.073375	14.28988	0	0	0	35	4
9.020873	14.26352	0	0	0	35	5
9.196241	14.28645	0	0	0	35	6
9.38236	14.28	0	0	0	35	7
9.163459	14.23323	0	0	0	35	8
9.036582	14.20998	0	0	0	35	9
9.440182	14.22868	0	0	0	35	10
9.699718	14.24632	0	0	0	35	11
9.706316	14.27918	0	0	0	35	12
9.935373	14.29361	0	0	0	35	13
10.0459	14.30219	0	0	0	35	14
10.16061	14.32148	0	0	0	35	15
10.2298	14.35905	0	0	0	35	16
10.24473	14.38785	0	0	0	35	17
8.451054	13.89976	1	0	0	36	1
8.19864	13.94487	1	0	0	36	2
8.743691	13.99883	1	0	0	36	3
8.347827	14.01182	1	0	0	36	4
8.648396	13.97303	1	0	0	36	5
8.52238	13.98128	1	0	0	36	6
8.720297	13.96849	1	0	1	36	7
9.080232	13.93276	1	0	1	36	8
8.859364	13.91852	1	0	1	36	9
9.103423	13.93905	1	0	0	36	10
9.168267	13.9672	1	1	0	36	11
9.317579	13.99441	1	1	0	36	12
9.626811	14.00696	1	1	0	36	13
9.745254	14.01575	1	1	0	36	14
9.89182	14.03625	1	1	0	36	15
9.945205	14.06198	1	1	0	36	16
10.03714	14.09018	1	1	0	36	17
10.31652	15.5386	0	0	0	37	1
10.27781	15.58216	0	0	0	37	2
10.35784	15.63683	0	0	0	37	3
10.39182	15.65023	0	0	0	37	4
10.22987	15.63903	0	0	0	37	5
10.33491	15.68614	0	1	0	37	6
10.55911	15.7121	1	1	0	37	7
10.65415	15.69714	1	1	0	37	8
10.73372	15.68991	1	1	0	37	9
11.0647	15.7143	1	1	0	37	10
11.23391	15.7383	1	1	0	37	11
11.49568	15.77496	1	1	0	37	12
11.84806	15.78607	1	1	0	37	13
11.87771	15.79914	1	1	0	37	14
12.09373	15.82794	1	1	0	37	15
12.13792	15.86332	1	1	0	37	16
12.28366	15.89776	1	1	0	37	17
4.41884	12.55603	0	0	0	38	1
4.553877	12.54397	0	1	0	38	2
4.70953	12.54895	0	1	0	38	3
4.65396	12.51979	0	1	1	38	4
4.29046	12.52816	0	1	1	38	5
4.875197	12.54647	0	1	1	38	6
4.584968	12.53933	0	1	1	38	7
4.85203	12.52598	0	1	1	38	8
6.061457	12.52125	1	1	1	38	9
6.410175	12.55285	1	1	1	38	10
6.635947	12.58108	1	1	1	38	11
6.276643	12.6025	1	1	1	38	12
7.059618	12.6238	1	1	1	38	13
7.224025	12.66539	1	1	1	38	14
7.379632	12.69343	1	1	1	38	15
7.459915	12.73729	1	1	1	38	16
7.590852	12.76797	1	1	1	38	17
5.81413	12.7308	1	1	0	39	1
6.018593	12.70685	1	1	0	39	2
5.926926	12.70016	1	1	0	39	3
5.793014	12.6514	1	1	0	39	4
5.880533	12.66949	1	1	0	39	5
6.335054	12.70836	1	1	0	39	6
6.327937	12.72487	1	1	0	39	7
6.345636	12.70138	1	1	0	39	8
6.431331	12.7171	1	1	0	39	9
7.30317	12.76139	1	1	0	39	10
7.151485	12.80984	1	1	1	39	11
7.277938	12.86074	1	1	1	39	12
7.244942	12.89446	1	1	1	39	13
7.655864	12.9394	1	1	1	39	14
8.306719	12.98654	1	1	1	39	15
8.570734	13.04094	1	1	1	39	16
8.687611	13.0759	1	1	1	39	17
4.962845	12.20957	0	0	0	40	1
4.919981	12.25581	0	0	0	40	2
5.164786	12.31717	0	0	0	40	3
3.912023	12.29087	0	0	0	40	4
4.795791	12.2185	0	0	0	40	5
5.209486	12.22734	0	0	0	40	6
5.568345	12.23999	1	0	0	40	7
5.840641	12.1874	1	0	0	40	8
6.470799	12.11505	1	0	0	40	9
5.831882	12.1495	1	0	0	40	10
5.826	12.16941	1	1	0	40	11
6.063785	12.19854	1	1	0	40	12
6.580639	12.22145	1	1	0	40	13
6.526495	12.23369	1	1	0	40	14
6.602588	12.25629	1	1	0	40	15
6.634634	12.28673	1	1	1	40	16
6.866933	12.29865	1	1	1	40	17
8.916103	14.01272	0	0	0	41	1
8.91503	14.03953	0	0	0	41	2
8.819813	14.07418	0	0	0	41	3
8.722743	14.09056	0	0	0	41	4
8.825413	14.09858	1	0	0	41	5
9.191973	14.15362	1	0	0	41	6
9.25913	14.16525	1	1	0	41	7
9.769957	14.15789	1	1	0	41	8
9.10864	14.16094	1	1	0	41	9
9.475777	14.17744	1	1	0	41	10
9.535173	14.20911	1	1	0	41	11
9.543522	14.23481	1	1	0	41	12
9.685331	14.25053	1	1	0	41	13
9.92005	14.28358	1	1	0	41	14
10.24718	14.32875	1	1	0	41	15
10.43261	14.37849	1	1	0	41	16
